0.364 ,0.223 ,0.196 
0.992 ,0.813 ,0.663 
0.401 ,0.605 ,0.841 
0.255 ,0.297 ,0.147 
0.696 ,0.754 ,0.996 
0.560 ,0.998 ,0.894 
0.987 ,0.504 ,0.179 
0.304 ,0.517 ,0.983 
0.998 ,0.410 ,0.458 
0.274 ,0.213 ,0.382 
0.802 ,0.858 ,0.227 
0.942 ,0.706 ,0.106 
0.202 ,0.372 ,0.780 
0.266 ,0.570 ,0.182 
0.966 ,0.231 ,0.286 
0.935 ,0.847 ,0.226 
0.998 ,0.545 ,0.916 
0.301 ,0.784 ,0.991 
1.000 ,1.000 ,1.000 
1.000 ,1.000 ,1.000 
0.901 ,0.947 ,0.951 
0.475 ,0.492 ,0.498 
0.229 ,0.243 ,0.253 
0.086 ,0.090 ,0.096 
